"path","animation","frame","rect","finding","width","height","alphaType","alpha0Ratio","alphaPartialRatio","alpha255Ratio","partialVisibleRatio","minAlpha","maxAlpha","meanAlpha","visibleBounds"
"assets/monsters/black_forest/mountain_wolf.png","attack-1","","799,397,46,29","","46","29","binary","0.4775112443778111","0.0","0.5224887556221889","0.0","0","255","133.23463268365816","799,397,46,29"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","583,225,37,36","","37","36","binary","0.5840840840840841","0.0","0.4159159159159159","0.0","0","255","106.05855855855856","583,225,37,36"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","294,186,35,38","","35","38","binary","0.5759398496240602","0.0","0.42406015037593986","0.0","0","255","108.13533834586467","294,186,35,38"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","842,144,35,39","","35","39","binary","0.5985347985347985","0.0","0.4014652014652015","0.0","0","255","102.37362637362638","842,144,35,39"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","452,262,37,34","","37","34","binary","0.5739268680445151","0.0","0.4260731319554849","0.0","0","255","108.64864864864865","452,262,37,34"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","846,397,41,29","","41","29","binary","0.5584524810765349","0.0","0.4415475189234651","0.0","0","255","112.5946173254836","846,397,41,29"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","888,397,40,29","","40","29","binary","0.5396551724137931","0.0","0.4603448275862069","0.0","0","255","117.38793103448276","888,397,40,29"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","929,397,42,29","","42","29","binary","0.5582922824302134","0.0","0.44170771756978655","0.0","0","255","112.63546798029557","929,397,42,29"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","490,262,36,34","","36","34","binary","0.5531045751633987","0.0","0.44689542483660133","0.0","0","255","113.95833333333333","490,262,36,34"
"assets/monsters/black_forest/mountain_wolf.png","attack-2","","832,186,33,37","","33","37","binary","0.5323505323505323","0.0","0.46764946764946763","0.0","0","255","119.25061425061425","832,186,33,37"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","561,0,12,43","","12","43","binary","0.3081395348837209","0.0","0.6918604651162791","0.0","0","255","176.42441860465115","561,0,12,43"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","148,0,12,45","","12","45","binary","0.32037037037037036","0.0","0.6796296296296296","0.0","0","255","173.30555555555554","148,0,12,45"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","91,0,13,46","","13","46","binary","0.3528428093645485","0.0","0.6471571906354515","0.0","0","255","165.02508361204013","91,0,13,46"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","878,144,13,39","","13","39","binary","0.398422090729783","0.0","0.6015779092702169","0.0","0","255","153.4023668639053","878,144,13,39"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","707,428,13,28","","13","28","binary","0.32142857142857145","0.0","0.6785714285714286","0.0","0","255","173.03571428571428","707,428,13,28"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","527,262,13,34","","13","34","binary","0.41402714932126694","0.0","0.5859728506787331","0.0","0","255","149.42307692307693","527,262,13,34"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","541,262,13,34","","13","34","binary","0.38235294117647056","0.0","0.6176470588235294","0.0","0","255","157.5","541,262,13,34"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","621,225,14,36","","14","36","binary","0.3551587301587302","0.0","0.6448412698412699","0.0","0","255","164.4345238095238","621,225,14,36"
"assets/monsters/black_forest/mountain_wolf.png","attack-3","","719,0,14,42","","14","42","binary","0.3826530612244898","0.0","0.6173469387755102","0.0","0","255","157.4234693877551","719,0,14,42"
